language,topic,keyword,match_type,keyword_id
English,CLIMATE_CHANGE,climate change,sub_word,1
English,CLIMATE_CHANGE,global warming,sub_word,2
English,MIGRANTS,migra*,sub_word,3
English,MIGRANTS,refugee*,sub_word,4
English,MIGRANTS,migrant,sub_word,5
English,MIGRANTS,migration,sub_word,6
English,MIGRANTS,migrate,sub_word,7
English,MIGRANTS,migratory,sub_word,8
English,MIGRANTS,immigrant,sub_word,9
English,MIGRANTS,immigration,sub_word,10
English,MIGRANTS,immigrate,sub_word,11
English,MIGRANTS,refugees,sub_word,12
English,PUBLIC_HEALTH,vaccin*,sub_word,13
English,PUBLIC_HEALTH,vaccine,sub_word,14
English,PUBLIC_HEALTH,vaccines,sub_word,15
English,PUBLIC_HEALTH,vaccination,sub_word,16
English,PUBLIC_HEALTH,vaccinations,sub_word,17
English,PUBLIC_HEALTH,vaccinate,sub_word,18
English,PUBLIC_HEALTH,vaccinates,sub_word,19
English,PUBLIC_HEALTH,vaccinated,sub_word,20
English,PUBLIC_HEALTH,vaccinating,sub_word,21
Italian,CLIMATE_CHANGE,cambiamento climatico,sub_word,22
Italian,CLIMATE_CHANGE,riscaldamento globale,sub_word,23
Italian,MIGRANTS,migra*,sub_word,24
Italian,MIGRANTS,rifugiat*,sub_word,25
Italian,MIGRANTS,migrante,sub_word,26
Italian,MIGRANTS,migranti,sub_word,27
Italian,MIGRANTS,migrazione,sub_word,28
Italian,MIGRANTS,migrare,sub_word,29
Italian,MIGRANTS,migratorio,sub_word,30
Italian,MIGRANTS,migratoria,sub_word,31
Italian,MIGRANTS,immigrante,sub_word,32
Italian,MIGRANTS,immigranti,sub_word,33
Italian,MIGRANTS,immigrazione,sub_word,34
Italian,MIGRANTS,immigrare,sub_word,35
Italian,MIGRANTS,rifugiato,sub_word,36
Italian,MIGRANTS,rifugiata,sub_word,37
Italian,MIGRANTS,rifugiati,sub_word,38
Italian,MIGRANTS,rifugiate,sub_word,39
Italian,PUBLIC_HEALTH,vaccin*,sub_word,40
Italian,PUBLIC_HEALTH,vaccino,sub_word,41
Italian,PUBLIC_HEALTH,vaccini,sub_word,42
Italian,PUBLIC_HEALTH,vaccinazione,sub_word,43
Italian,PUBLIC_HEALTH,vaccinazioni,sub_word,44
Italian,PUBLIC_HEALTH,vaccinare,sub_word,45
Italian,PUBLIC_HEALTH,vaccina,sub_word,46
Italian,PUBLIC_HEALTH,vaccinato,sub_word,47
Italian,PUBLIC_HEALTH,vaccinata,sub_word,48
Italian,PUBLIC_HEALTH,vaccinati,sub_word,49
Italian,PUBLIC_HEALTH,vaccinate,sub_word,50
Italian,PUBLIC_HEALTH,vaccinando,sub_word,51
French,CLIMATE_CHANGE,changement climatique,sub_word,52
French,CLIMATE_CHANGE,réchauffement climatique,sub_word,53
French,MIGRANTS,migr*,sub_word,54
French,MIGRANTS,réfugié*,sub_word,55
French,MIGRANTS,migrant,sub_word,56
French,MIGRANTS,migrante,sub_word,57
French,MIGRANTS,migration,sub_word,58
French,MIGRANTS,migrer,sub_word,59
French,MIGRANTS,migratoire,sub_word,60
French,MIGRANTS,immigrant,sub_word,61
French,MIGRANTS,immigrante,sub_word,62
French,MIGRANTS,immigration,sub_word,63
French,MIGRANTS,réfugié,sub_word,64
French,MIGRANTS,réfugiée,sub_word,65
French,MIGRANTS,réfugiés,sub_word,66
French,MIGRANTS,réfugiées,sub_word,67
French,PUBLIC_HEALTH,vaccin*,sub_word,68
French,PUBLIC_HEALTH,vaccin,sub_word,69
French,PUBLIC_HEALTH,vaccins,sub_word,70
French,PUBLIC_HEALTH,vaccination,sub_word,71
French,PUBLIC_HEALTH,vaccinations,sub_word,72
French,PUBLIC_HEALTH,vacciner,sub_word,73
French,PUBLIC_HEALTH,vaccine,sub_word,74
French,PUBLIC_HEALTH,vacciné,sub_word,75
French,PUBLIC_HEALTH,vaccinée,sub_word,76
French,PUBLIC_HEALTH,vaccinés,sub_word,77
French,PUBLIC_HEALTH,vaccinées,sub_word,78
French,PUBLIC_HEALTH,vaccinant,sub_word,79
Spanish,CLIMATE_CHANGE,cambio climático,sub_word,80
Spanish,CLIMATE_CHANGE,calentamiento global,sub_word,81
Spanish,MIGRANTS,migra*,sub_word,82
Spanish,MIGRANTS,refugiad*,sub_word,83
Spanish,MIGRANTS,migrante,sub_word,84
Spanish,MIGRANTS,migrantes,sub_word,85
Spanish,MIGRANTS,migración,sub_word,86
Spanish,MIGRANTS,migrar,sub_word,87
Spanish,MIGRANTS,migratorio,sub_word,88
Spanish,MIGRANTS,migratoria,sub_word,89
Spanish,MIGRANTS,inmigrante,sub_word,90
Spanish,MIGRANTS,inmigrantes,sub_word,91
Spanish,MIGRANTS,inmigración,sub_word,92
Spanish,MIGRANTS,refugiado,sub_word,93
Spanish,MIGRANTS,refugiada,sub_word,94
Spanish,MIGRANTS,refugiados,sub_word,95
Spanish,MIGRANTS,refugiadas,sub_word,96
Spanish,PUBLIC_HEALTH,vacun*,sub_word,97
Spanish,PUBLIC_HEALTH,vacuna,sub_word,98
Spanish,PUBLIC_HEALTH,vacunas,sub_word,99
Spanish,PUBLIC_HEALTH,vacunación,sub_word,100
Spanish,PUBLIC_HEALTH,vacunaciones,sub_word,101
Spanish,PUBLIC_HEALTH,vacunar,sub_word,102
Spanish,PUBLIC_HEALTH,vacunado,sub_word,103
Spanish,PUBLIC_HEALTH,vacunada,sub_word,104
Spanish,PUBLIC_HEALTH,vacunados,sub_word,105
Spanish,PUBLIC_HEALTH,vacunadas,sub_word,106
Spanish,PUBLIC_HEALTH,vacunando,sub_word,107
German,CLIMATE_CHANGE,klimawandel,sub_word,108
German,CLIMATE_CHANGE,globale erwärmung,sub_word,109
German,MIGRANTS,migra*,sub_word,110
German,MIGRANTS,flüchtling*,sub_word,111
German,MIGRANTS,ausländer,sub_word,112
German,MIGRANTS,migrant,sub_word,113
German,MIGRANTS,migrantin,sub_word,114
German,MIGRANTS,migranten,sub_word,115
German,MIGRANTS,migrantinnen,sub_word,116
German,MIGRANTS,migration,sub_word,117
German,MIGRANTS,migrieren,sub_word,118
German,MIGRANTS,immigrant,sub_word,119
German,MIGRANTS,immigrantin,sub_word,120
German,MIGRANTS,immigranten,sub_word,121
German,MIGRANTS,immigrantinnen,sub_word,122
German,MIGRANTS,immigration,sub_word,123
German,MIGRANTS,immigrieren,sub_word,124
German,MIGRANTS,einwanderer,sub_word,125
German,MIGRANTS,asylant,sub_word,126
German,MIGRANTS,flüchtling,sub_word,127
German,MIGRANTS,flüchtlinge,sub_word,128
German,PUBLIC_HEALTH,impf*,sub_word,129
German,PUBLIC_HEALTH,geimpft,sub_word,130
German,PUBLIC_HEALTH,vakzin*,sub_word,131
German,PUBLIC_HEALTH,impfstoff,sub_word,132
German,PUBLIC_HEALTH,impfstoffe,sub_word,133
German,PUBLIC_HEALTH,impfung,sub_word,134
German,PUBLIC_HEALTH,impfungen,sub_word,135
German,PUBLIC_HEALTH,impfen,sub_word,136
German,PUBLIC_HEALTH,impft,sub_word,137
German,PUBLIC_HEALTH,impfend,sub_word,138
German,PUBLIC_HEALTH,vakzin,sub_word,139
German,PUBLIC_HEALTH,vakzine,sub_word,140
German,PUBLIC_HEALTH,vakzination,sub_word,141
German,PUBLIC_HEALTH,vakzinationen,sub_word,142
Romanian,CLIMATE_CHANGE,schimbări climatice,sub_word,143
Romanian,CLIMATE_CHANGE,încălzire globală,sub_word,144
Romanian,MIGRANTS,migra*,sub_word,145
Romanian,MIGRANTS,refugiat*,sub_word,146
Romanian,MIGRANTS,migrant,sub_word,147
Romanian,MIGRANTS,migrantă,sub_word,148
Romanian,MIGRANTS,migranți,sub_word,149
Romanian,MIGRANTS,migrante,sub_word,150
Romanian,MIGRANTS,migrație,sub_word,151
Romanian,MIGRANTS,migra,sub_word,152
Romanian,MIGRANTS,migrator,sub_word,153
Romanian,MIGRANTS,migratoare,sub_word,154
Romanian,MIGRANTS,imigrant,sub_word,155
Romanian,MIGRANTS,imigrantă,sub_word,156
Romanian,MIGRANTS,imigranți,sub_word,157
Romanian,MIGRANTS,imigrante,sub_word,158
Romanian,MIGRANTS,imigrație,sub_word,159
Romanian,MIGRANTS,imigra,sub_word,160
Romanian,MIGRANTS,refugiat,sub_word,161
Romanian,MIGRANTS,refugiată,sub_word,162
Romanian,MIGRANTS,refugiați,sub_word,163
Romanian,PUBLIC_HEALTH,vaccin*,sub_word,164
Romanian,PUBLIC_HEALTH,vaccin,sub_word,165
Romanian,PUBLIC_HEALTH,vaccinuri,sub_word,166
Romanian,PUBLIC_HEALTH,vaccinare,sub_word,167
Romanian,PUBLIC_HEALTH,vaccinări,sub_word,168
Romanian,PUBLIC_HEALTH,vaccina,sub_word,169
Romanian,PUBLIC_HEALTH,vaccinează,sub_word,170
Romanian,PUBLIC_HEALTH,vaccinat,sub_word,171
Romanian,PUBLIC_HEALTH,vaccinată,sub_word,172
Romanian,PUBLIC_HEALTH,vaccinați,sub_word,173
Romanian,PUBLIC_HEALTH,vaccinate,sub_word,174
Romanian,PUBLIC_HEALTH,vaccinând,sub_word,175
Greek,CLIMATE_CHANGE,κλιματική αλλαγή,sub_word,176
Greek,CLIMATE_CHANGE,υπερθέρμανση του πλανήτη,sub_word,177
Greek,MIGRANTS,μεταναστ,sub_word,178
Greek,MIGRANTS,πρόσφυγ*,sub_word,179
Greek,MIGRANTS,μετανάστ*,sub_word,180
Greek,MIGRANTS,πρoσφυγ*,sub_word,181
Greek,MIGRANTS,μετανάστης,sub_word,182
Greek,MIGRANTS,μετανάστρια,sub_word,183
Greek,MIGRANTS,μετανάστες,sub_word,184
Greek,MIGRANTS,μετανάστριες,sub_word,185
Greek,MIGRANTS,μετανάστευση,sub_word,186
Greek,MIGRANTS,μεταναστεύω,sub_word,187
Greek,MIGRANTS,μεταναστευτικός,sub_word,188
Greek,MIGRANTS,μεταναστευτική,sub_word,189
Greek,MIGRANTS,μεταναστευτικό,sub_word,190
Greek,MIGRANTS,πρόσφυγας,sub_word,191
Greek,MIGRANTS,προσφύγισσα,sub_word,192
Greek,MIGRANTS,πρόσφυγες,sub_word,193
Greek,MIGRANTS,προσφύγισσες,sub_word,194
Greek,MIGRANTS,προσφυγοπούλα,sub_word,195
Greek,MIGRANTS,προσφυγόπουλο,sub_word,196
Greek,MIGRANTS,προσφυγόπουλα,sub_word,197
Greek,MIGRANTS,προσφυγοπούλες,sub_word,198
Greek,PUBLIC_HEALTH,εμβολι*,sub_word,199
Greek,PUBLIC_HEALTH,εμβόλι*,sub_word,200
Greek,PUBLIC_HEALTH,εμβόλι,sub_word,201
Greek,PUBLIC_HEALTH,εμβολι,sub_word,202
Greek,PUBLIC_HEALTH,εμβόλιο,sub_word,203
Greek,PUBLIC_HEALTH,εμβόλια,sub_word,204
Greek,PUBLIC_HEALTH,εμβολιασμός,sub_word,205
Greek,PUBLIC_HEALTH,εμβολιασμοί,sub_word,206
Greek,PUBLIC_HEALTH,εμβολιάζω,sub_word,207
Greek,PUBLIC_HEALTH,εμβολιάζει,sub_word,208
Greek,PUBLIC_HEALTH,εμβολιασμένος,sub_word,209
Greek,PUBLIC_HEALTH,εμβολιασμένη,sub_word,210
Greek,PUBLIC_HEALTH,εμβολιασμένοι,sub_word,211
Greek,PUBLIC_HEALTH,εμβολιασμένες,sub_word,212
Greek,PUBLIC_HEALTH,εμβολιάζοντας,sub_word,213
Greek,PUBLIC_HEALTH,εμβολιασμένο,sub_word,214
Greek,PUBLIC_HEALTH,εμβολιάζομαι,sub_word,215
Greek,PUBLIC_HEALTH,εμβολιάστηκε,sub_word,216
Polish,CLIMATE_CHANGE,zmiana klimatu,sub_word,217
Polish,CLIMATE_CHANGE,globalne ocieplenie,sub_word,218
Polish,MIGRANTS,migra,sub_word,219
Polish,MIGRANTS,uchodźc*,sub_word,220
Polish,MIGRANTS,migrant,sub_word,221
Polish,MIGRANTS,migrantka,sub_word,222
Polish,MIGRANTS,migranci,sub_word,223
Polish,MIGRANTS,migrantki,sub_word,224
Polish,MIGRANTS,migracja,sub_word,225
Polish,MIGRANTS,migrować,sub_word,226
Polish,MIGRANTS,migracyjny,sub_word,227
Polish,MIGRANTS,migracyjna,sub_word,228
Polish,MIGRANTS,imigrant,sub_word,229
Polish,MIGRANTS,imigrantka,sub_word,230
Polish,MIGRANTS,imigranci,sub_word,231
Polish,MIGRANTS,imigrantki,sub_word,232
Polish,MIGRANTS,imigracja,sub_word,233
Polish,MIGRANTS,imigrować,sub_word,234
Polish,MIGRANTS,uchodźca,sub_word,235
Polish,MIGRANTS,uchodźczyni,sub_word,236
Polish,MIGRANTS,uchodźcy,sub_word,237
Polish,MIGRANTS,uchodźczynie,sub_word,238
Polish,PUBLIC_HEALTH,szczepi,sub_word,239
Polish,PUBLIC_HEALTH,szczepionka,sub_word,240
Polish,PUBLIC_HEALTH,szczepionki,sub_word,241
Polish,PUBLIC_HEALTH,szczepienie,sub_word,242
Polish,PUBLIC_HEALTH,szczepienia,sub_word,243
Polish,PUBLIC_HEALTH,szczepić,sub_word,244
Polish,PUBLIC_HEALTH,zaszczepiony,sub_word,245
